"HDFC","ICICI"
"1,366.50","688.05"
"1,371.00","698.3"
"1,374.25","714.85"
"1,426.25","742.7"
"1,456.10","730.05"
"1,419.40","707.4"
"1,500.90","744.6"
"1,510.70","751.3"
"1,522.10","754.45"
"1,512.35","748.9"
"1,506.50","750.35"
"1,515.75","764.05"
"1,517.80","776.05"
"1,473.70","753.7"
"1,518.85","790.8"
"1,525.10","805.5"
"1,497.60","802.8"
"1,461.85","792.5"
"1,468.15","786.4"
"1,524.00","805.05"
"1,515.35","808.95"
"1,531.20","813.75"
"1,497.00","810.3"
"1,485.70","788.8"
"1,463.25","781.15"
"1,474.95","794.65"
"1,488.05","801.65"
"1,486.65","798.45"
"1,521.60","804.5"
"1,509.00","810.25"
"1,518.45","808.6"
"1,529.25","823.1"
"1,521.50","819.3"
"1,545.15","820"
"1,528.00","824.7"
"1,556.65","823.75"
"1,565.90","810.65"
"1,559.15","810.75"
"1,550.55","793.25"
"1,539.75","785.05"
"1,564.85","788.05"
"1,528.55","772.85"
"1,519.65","764.7"
"1,479.40","740.15"
"1,461.50","735.7"
"1,453.85","735.7"
"1,460.80","735.8"
"1,450.80","736"
"1,438.90","727.1"
"1,444.10","731.3"
"1,445.20","732.8"
"1,441.80","720.35"
"1,425.65","709.95"
"1,473.05","728.3"
"1,500.10","741.15"
"1,500.00","752.25"
"1,502.45","758.65"
"1,511.15","754"
"1,522.55","758"
"1,526.85","755"
"1,553.80","753.4"
"1,525.70","734.65"
"1,503.80","709.55"
"1,513.55","716.3"
"1,525.75","722.4"
"1,504.65","727.7"
"1,493.55","714.35"
"1,501.25","718.4"
"1,489.90","722.2"
"1,525.95","751.05"
"1,518.05","760.2"
"1,515.55","751.85"
"1,515.35","752"
"1,539.40","762.9"
"1,530.80","761.3"
"1,548.00","764.05"
"1,557.25","773.3"
"1,553.00","776.6"
"1,548.30","771.45"
"1,555.25","780.9"
"1,572.25","786.55"
"1,600.25","780.15"
"1,593.95","782.1"
"1,581.45","785.95"
"1,606.75","800.95"
"1,605.30","803.9"
"1,582.85","802.05"
"1,593.60","798.7"
"1,642.80","835"
"1,652.75","829.4"
"1,657.00","841.7"
"1,680.75","759.3"
"1,676.30","755.5"
"1,673.85","745.85"
"1,688.70","747.45"
"1,670.30","745.45"
"1,687.40","727.3"
"1,639.40","709.95"
"1,629.60","708.6"
"1,633.80","713.3"
"1,602.65","703.4"
"1,610.50","702.2"
"1,614.90","689.5"
"1,595.45","697.1"
"1,585.75","700.2"
"1,582.70","692.35"
"1,594.95","700.85"
"1,593.85","709.5"
"1,615.05","717.15"
"1,625.10","730"
"1,601.55","722.95"
"1,570.00","717"
"1,533.70","703.35"
"1,551.95","711.85"
"1,559.85","710"
"1,582.15","720.15"
"1,559.95","727.2"
"1,546.80","714.35"
"1,548.55","707.45"
"1,555.55","707.4"
"1,568.60","720.25"
"1,576.40","720.95"
"1,569.25","716.9"
"1,565.70","721.15"
"1,576.05","724.3"
"1,589.00","725.15"
"1,579.10","719.9"
"1,581.40","719.05"
"1,568.25","713.65"
"1,548.45","699.75"
"1,554.80","698.8"
"1,557.40","691.05"
"1,558.85","694.45"
"1,524.60","682.7"
"1,514.75","680.7"
"1,513.00","688.3"
"1,514.65","701.2"
"1,530.60","702.65"
"1,526.20","704.8"
"1,501.40","701.35"
"1,494.95","693.55"
"1,507.65","700.9"
"1,503.90","702.85"
"1,492.65","697.65"
"1,484.85","702.45"
"1,465.30","714.65"
"1,434.70","690.4"
"1,422.65","681.4"
"1,426.45","682.5"
"1,418.25","687.5"
"1,417.30","685.05"
"1,439.75","677.45"
"1,434.55","676.75"
"1,442.75","676.65"
"1,448.70","655.95"
"1,443.15","641.9"
"1,471.00","655.9"
"1,522.35","660.3"
"1,520.70","667.45"
"1,499.15","664.35"
"1,501.85","664.95"
"1,487.00","646.25"
"1,502.00","638.55"
"1,520.45","641.9"
"1,539.50","654"
"1,534.70","650.3"
"1,495.45","647.85"
"1,480.40","640.25"
"1,486.75","630.85"
"1,497.90","630.9"
"1,502.05","640.1"
"1,508.35","650.3"
"1,515.10","649"
"1,506.25","634.05"
"1,485.50","624.7"
"1,483.80","630.85"
"1,488.70","631.25"
"1,479.80","630.4"
"1,466.10","633"
"1,484.60","640.1"
"1,490.25","645.3"
"1,479.45","635.15"
"1,486.35","635.7"
"1,481.05","640.4"
"1,480.30","636.1"
"1,483.05","642.4"
"1,499.85","648.2"
"1,500.95","642.7"
"1,520.55","650.25"
"1,504.00","648.35"
"1,511.70","650.1"
"1,515.85","662.75"
"1,503.45","643.05"
"1,482.65","652.25"
"1,477.05","652.5"
"1,478.95","650.3"
"1,509.95","647.35"
"1,497.30","642.45"
"1,432.80","618.6"
"1,458.20","625.45"
"1,476.70","633.2"
"1,440.25","623.6"
"1,386.85","597.3"
"1,399.50","594.75"
"1,403.55","609.85"
"1,419.85","613.25"
"1,414.75","607.1"
"1,400.90","608.2"
"1,402.60","602.8"
"1,388.35","591.55"
"1,414.45","596.75"
"1,412.30","600.5"
"1,472.50","621.45"
"1,476.80","621.35"
"1,438.70","598.75"
"1,404.80","591.1"
"1,414.15","569.95"
"1,422.50","579.2"
"1,391.40","559.1"
"1,412.40","559.75"
"1,428.65","566.95"
"1,430.10","575.2"
"1,400.35","560.6"
"1,367.05","538.55"
"1,421.75","566.2"
"1,432.80","576.7"
"1,447.20","577.65"
"1,440.25","565.9"
"1,449.60","571.25"
"1,486.75","594.4"
"1,493.65","582.1"
"1,553.70","591.45"
"1,491.30","578.55"
"1,463.35","571.55"
"1,478.80","567.5"
"1,500.15","586.4"
"1,469.15","573.45"
"1,497.50","586.65"
"1,491.00","578.6"
"1,495.35","589.5"
"1,512.15","594.95"
"1,528.65","603.5"
"1,551.95","612.85"
"1,555.75","625.6"
"1,562.50","625.1"
"1,519.50","608.05"
"1,530.00","609.45"
"1,552.05","620.75"
"1,586.85","632.1"
"1,568.20","610.5"
"1,558.90","608.35"
"1,534.40","597.75"
"1,606.40","628"
"1,606.45","641.1"
"1,529.15","616.3"
"1,548.00","609.85"
"1,539.10","624.05"
"1,554.30","644.65"
"1,586.50","657.35"
"1,626.65","658.35"
"1,616.60","673.95"
"1,581.95","647.6"
"1,572.35","630.65"
"1,581.75","632.15"
"1,611.85","633.35"
"1,605.25","629.6"
"1,597.60","614.15"
"1,579.10","628.3"
"1,574.80","622.35"
"1,560.55","617.35"
"1,476.75","603.8"
"1,390.50","537"
"1,371.45","528.25"
"1,409.60","522.35"
"1,462.85","538.05"
"1,443.55","533.8"
"1,474.80","552.7"
"1,492.00","551"
"1,503.85","546.45"
"1,483.10","533.15"
"1,466.65","543"
"1,468.75","553.3"
"1,470.65","556.5"
